name,cuisines,aggregate_rating,rating_text,votes,average_cost_for_two,price_range,locality,city,latitude,longitude,has_online_delivery,has_table_booking,American,Andhra,Arabian,Asian,Awadhi,BBQ,Bakery,Beverages,Biryani,Burger,Burmese,Cafe,Chinese,Coffee,Continental,Desserts,European,Fast Food,Gujarati,Healthy Food,Hyderabadi,Ice Cream,Italian,Japanese,Juices,Lebanese,Mediterranean,Mexican,Modern Indian,Momos,Mughlai,North Indian,Parsi,Pizza,Rajasthani,Rolls,Salad,Sandwich,Seafood,South Indian,Street Food,Sushi,Tex-Mex,Thai,Tibetan,Vietnamese,places,cuisine_count,place_type
Ohri's 70mm,"Continental, North Indian, Chinese",4.6,Excellent,2829,1500,3,Necklace Road,Hyderabad,17.4318091994,78.4649998695,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Exotica,"Mughlai, North Indian, Chinese",4.6,Excelente,6545,1800,3,Banjara Hills,Hyderabad,17.410307633800002,78.4372044727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12th Square Building,3,Mall
Cask The Bar,"Continental, North Indian",4.6,Excellent,575,1200,3,Kompally,Hyderabad,17.515535051500002,78.4807977453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Coconut Juice Bar,"Beverages, Juices",4.6,Excelente,7,200,1,Madhapur,Hyderabad,17.4415018477,78.388712868,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Coffee Cup,"Cafe, Continental, Italian",4.6,Excelente,4097,800,2,Sainikpuri,Secunderabad,17.4831571465,78.5521260649,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Onesta,"Pizza, Italian, Fast Food, Beverages, Desserts",4.6,Excelente,3811,600,2,Banjara Hills,Hyderabad,17.4152816194,78.4503543377,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,None,5,None
Amnesia Sky Bar,"Continental, North Indian",4.6,Excellent,135,1500,3,Hitech City,Hyderabad,17.4337239,78.3867856,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inorbit Mall,2,Mall
Coconut Juice Bar,"Beverages, Juices",4.6,Excellent,7,200,1,Madhapur,Hyderabad,17.4415018477,78.388712868,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Carpe Diem,"Continental, Asian, Mexican",4.6,Excellent,526,2000,4,Jubilee Hills,Hyderabad,17.4377550001,78.3982239291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
China Bistro,"Chinese, Thai, Asian, Momos",4.6,Excellent,1618,1700,3,Jubilee Hills,Hyderabad,17.4225110603,78.4109925851,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,4,None
Onesta,"Pizza, Italian, Fast Food, Beverages, Desserts",4.6,Excellent,3811,600,2,Banjara Hills,Hyderabad,17.4152816194,78.4503543377,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,None,5,None
The Chocolate Room,"Cafe, Desserts",4.6,Excellent,395,600,2,Miyapur,Hyderabad,17.494722,78.341066,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Flechazo,"Asian, Mediterranean, North Indian, Desserts",4.6,Excellent,9521,1300,3,Madhapur,Hyderabad,17.4466826136,78.38450510050001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,4,None
Subhan Bakery,"Bakery, Fast Food",4.6,Excellent,936,150,1,Nampally,Hyderabad,17.3922132513,78.4650042281,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Ohri's Ming's Court,Chinese,4.6,Excellent,985,1400,3,Basheer Bagh,Hyderabad,17.4049227291,78.4765417501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Prost Brew Pub,"Italian, Continental, Chinese",4.6,Excellent,2800,2200,4,Jubilee Hills,Hyderabad,17.4314704479,78.40035695579999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Exotica,"Mughlai, North Indian, Chinese",4.6,Excellent,6545,1800,3,Banjara Hills,Hyderabad,17.410307633800002,78.4372044727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12th Square Building,3,Mall
Gourmet Baklava,Bakery,4.6,Excellent,577,500,2,Banjara Hills,Hyderabad,17.4250737178,78.43832060689999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Haiku,"Asian, Sushi",4.6,Excellent,939,1500,3,Banjara Hills,Hyderabad,17.4121800923,78.4304141253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,None,2,None
Coffee Cup,"Cafe, Continental, Italian",4.6,Excellent,4097,800,2,Sainikpuri,Secunderabad,17.4831571465,78.5521260649,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Farzi Cafe,Modern Indian,4.6,Excellent,2559,1800,3,Jubilee Hills,Hyderabad,17.428555,78.409032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Paradise Biryani,"Biryani, North Indian",4.6,Excellent,2556,800,2,Hitech City,Hyderabad,17.4414251271,78.37621573359999,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Flechazo,"Asian, Mediterranean, North Indian, Desserts",4.6,Excellent,1901,1300,3,Gachibowli,Hyderabad,17.435501,78.368106,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,4,None
